"","name_of_city","state_code","state_name","dist_code","population_total","population_male","population_female","X0.6_population_total","X0.6_population_male","X0.6_population_female","literates_total","literates_male","literates_female","sex_ratio","child_sex_ratio","effective_literacy_rate_total","effective_literacy_rate_male","effective_literacy_rate_female","location","total_graduates","male_graduates","female_graduates"
"2","Achalpur",27,"MAHARASHTRA",7,78,58256,54037,50,301,5624,92433,49347,43086,928,909,91.99,94.77,89,"21.257584,77.5086754",8863,5269,3594
"3","Adilabad",28,"ANDHRA PRADESH",1,101,59232,58156,95,333,6372,83955,46295,37660,982,947,80.51,88.18,72.73,"19.0809075,79.560344",10565,6797,3768
"4","Adityapur",20,"JHARKHAND",24,260,91495,82493,284,43,10979,125985,71470,54515,902,910,83.46,89.98,76.23,"22.7834741,86.1576889",19225,12189,7036
"5","Adoni",28,"ANDHRA PRADESH",21,242,82743,83794,227,464,9051,101292,56203,45089,1013,968,68.38,76.58,60.33,"15.6322227,77.2728368",11902,7871,4031
"7","Agra",9,"UTTAR PRADESH",15,229,849771,724771,235,14,81237,880530,503805,376725,853,772,63.44,67.67,58.54,"27.1766701,78.0080745",185813,106082,79731
"8","Ahmadabad",24,"GUJARAT",7,459,2935869,2634716,429,194,271159,4464303,2459823,2004480,897,853,89.62,93.96,84.81,"23.022505,72.5713621",769858,435267,334591
"9","Ahmadnagar",27,"MAHARASHTRA",26,411,179755,171150,376,138,16964,287468,152819,134649,952,859,91.49,95.51,87.33,"19.0952075,74.7495916",51661,29832,21829
"10","Aizawl",15,"MIZORAM",3,381,143803,148019,371,126,17480,253588,125256,128332,1029,989,98.8,99.3,98.31,"23.727107,92.7176389",26832,14900,11932
"11","Ajmer",8,"RAJASTHAN",21,456,278786,263794,432,192,27890,422913,230586,192327,946,884,87.53,93.26,81.53,"26.4498954,74.6399163",77989,42454,35535
"14","Alandur",33,"TAMIL NADU",3,237,82190,81972,140,373,7150,142415,72755,69660,997,975,95.15,97.2,93.1,"12.9974873,80.2006371",45971,25463,20508
"15","Alappuzha",32,"KERALA",11,261,83888,90276,156,403,7500,153269,74454,78815,1076,945,96.56,98.03,95.21,"9.4980667,76.3388484",22263,9900,12363
"16","Aligarh",9,"UTTAR PRADESH",12,485,463123,409452,36,296,53038,533969,303886,230083,884,875,70.36,75.5,64.55,"27.8973944,78.0880129",99341,55965,43376
